intraprendere	[3426024, 3426024]
iscritto	[1758812]
assicurazione	[350327]
venditore	[1872128, 7124393]
psiche	[4920805]
pancetta	[3779038, 3779042]
boutique	[5071604]
successivo	[4244347]
caloria	[4503310]
sanità	[399343]
gratuito	[373956, 1585830]
smarrire	[4579898, 5962427]
ufficiale	[2059890]
partecipazione	[1510811, 1510811]
maggiore	[1947820, 1947820]
legato	[4919695]
maggiormente	[2201288]
cervo	[342137, 7223173]
discarica	[1646130]
ingiustizia	[6954345]
dimagrire	[1916346]
artistico	[3441513]
barriera	[2437218]
ininterrottamente	[3621241, 4540836]
trappola	[3164266]
orgoglio	[759894]
malanno	[2784771]
preservare	[1758799]
celebre	[3081965, 4865651]
orale	[4518]
astro	[2090607]
illustre	[1211170]
riunire	[1735650, 1860234]
sottrarre	[874399]
fogna	[1874159]
salto	[1907111]
apatia	[631242]
disperatamente	[2997641]
rinchiudere	[2206010]
fastidio	[3343479]
motivazione	[715665]
trionfo	[1722528]
inferiore	[1754643, 2263463]
panorama	[403026]
cioccolatino	[4919702]
radicalmente	[1718953, 1867382]
posare	[1851326, 2254374]
cortese	[3672186]
coordinare	[1368164]
salvezza	[1850020]
annuncio	[3088597]
inciampare	[3305074]
poté	[2198516, 2206057]
incubo	[1468951, 8469475]
crollare	[570411, 570411]
imbarazzante	[1301378]
dipendenza	[3044958, 3268828]
scelto	[2423420]
coperto	[1719472]
rotella	[992751]
ente	[1758490]
istituto	[538991, 1606313]
grandezza	[794196, 2112390]
ascoltatore	[2733044]
turno	[2213750, 3769811]
rifiuto	[1759560, 4417525]
commovente	[4910805]
sindaco	[1022999]
concentrazione	[2442466]
astuto	[2474495]
comunicativo	[2456034]
allarmare	[3369956]
fidanzare	[947388, 1873270]
vespa	[7033310, 7033311]
sede	[3421137]
reincarnazione	[3120669]
scorpione	[6871878]
timidezza	[1720860]
furto	[612805, 5070482]
meteo	[2925274]
nido	[5172283]
riscontro	[3672186]
percentuale	[3483252]
dintorno	[2219171, 3525537]
sudare	[3317955, 4266289]
cordiale	[862194, 2417941]
avvenimento	[1326980]
professione	[5489729]
figuraccia	[2068454]
occupazione	[1754707, 5635280]
vantaggioso	[380877, 2427736]
antiquario	[6162572]
intervento	[1765080, 1765095]
allegria	[4900533]
scavare	[3021788]
spostamento	[2213603]
calmare	[409335]
bevanda	[3807090, 3956669]
impoverire	[547100]
smog	[715193]
indimenticabile	[4877166]
stimolo	[2437991]
attrezzo	[2383804, 3094002]
originario	[967395]
vizio	[937680, 1401354]
ingegneria	[4750138]
cosiddetto	[1759560]
pralina	[996850]
udire	[2198200]
usanza	[2197529]
fedele	[893711, 1211263]
interazione	[2457780]
aggiunto	[1743129]
discendere	[976832, 2056533]
informatica	[1416105]
fastidioso	[3761021]
avventura	[1187890, 2437728]
dignitosamente	[627710]
attimo	[624971, 1583647]
riciclabili	[2728287]
alligatore	[4819837]
burocrazia	[2402142]
merito	[1754669, 1856712]
corridoio	[439443, 2453995]
ripagare	[4292773, 4292773]
pur	[4849680]
chissà	[1765896, 3671416]
compositore	[401495, 6140291]
abbandonato	[1510625, 1510629]
zampa	[377220]
fosso	[3391582]
condizionatore	[2056101]
cuoio	[898090]
crollo	[3601589, 3601590]
noia	[1905694, 2796312]
guadagno	[7980061]
combinazione	[503559, 2195795]
sporgere	[1495072, 2798482]
pastore	[3505962]
stabilire	[2272536, 3761070]
contattare	[1073334]
autista	[2584485, 5665637]
svuotare	[3266035]
recare	[1810949]
essiccare	[4420981]
lassù	[1763977]
diffusione	[2231041]
composizione	[980897]
instabile	[1561186]
fucile	[3483541]
magari	[1350158, 3352157]
cespuglio	[1762755]
inutilmente	[4309799]
pertanto	[740368, 948080]
scontato	[3798510]
inno	[2758474]
agio	[1010953, 2191926]
denuncia	[3250110]
inventore	[969840, 5413883]
asino	[4548, 385343]
marca	[4436064]
spogliare	[2388998]
marciapiede	[4998946, 4998976]
amarezza	[3561437]
indagare	[1103712]
leggenda	[2398441, 2398442]
teorico	[1296406]
liberamente	[715201, 1857161]
furbo	[2474495, 3094002]
elencare	[2140478]
musicale	[2205998, 3375669]
incuriosire	[2485408, 4544715]
alternare	[3030534]
esploratore	[825809]
accademico	[1326753]
interessato	[1759542, 3841145]
massiccio	[1719731, 4722517]
storiella	[1847593]
compera	[707352, 999538]
codardia	[1321501]
parsimonioso	[5985755]
cruciverba	[3268774]
elemento	[2383781, 2439026]
indagine	[1805712, 4829573]
ricercare	[5600767]
riversare	[3343624]
indubbiamente	[1032489]
sfruttare	[918413]
tipico	[905668, 2193459]
malvagità	[1309161, 1326851]
inconfondibile	[4998976]
architettonico	[1796343]
ricominciare	[1722431, 1915002]
stancare	[1766141, 5151454]
sottolineare	[1759636, 2092829]
editoriale	[3264147]
inquinamento	[2196491]
traduttore	[541772]
professionalità	[5169014]
sepolto	[1931689]
bimbo	[4987895]
grido	[706823, 5550381]
preside	[1583043, 1583044]
cacao	[538988, 2429163]
dapprima	[1758790]
eccezionale	[1792219, 1842400]
cercatore	[2453594]
concessione	[1758490]
riferimento	[1856712]
quotidianamente	[4434530]
whisky	[715679]
esercitare	[2443782]
viaggiatore	[3284010]
subire	[4919303]
